filename,status,issues,width,height,mode,file_size_bytes,brightness_mean,contrast
2190.png,OK,nenhum,3385,1793,L,632695,232.57,56.06
2191.png,OK,nenhum,3385,1793,L,627004,232.56,56.1
2192.png,OK,nenhum,3385,1793,L,580204,233.6,54.62
2194.png,OK,nenhum,3385,1793,L,476601,234.63,53.24
2195.png,OK,nenhum,3385,1793,L,479906,234.76,53.05
2196.png,OK,nenhum,3385,1793,L,502685,234.62,53.24
2197.png,OK,nenhum,3385,1793,L,502685,234.62,53.24
2198.png,OK,nenhum,3385,1793,L,480193,234.87,52.86
2199.png,OK,nenhum,3385,1793,L,506993,234.66,53.18
2200.png,OK,nenhum,3385,1793,L,506993,234.66,53.18
2201.png,OK,nenhum,3385,1793,L,517703,233.88,54.35
